------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:1, Time:8ms, TrainLoss:0.7610383, TrainLossChange:0.7610383 TestLoss:0.64511544
Epoch:2, Time:6ms, TrainLoss:0.4009793, TrainLossChange:-0.360059 TestLoss:0.6293898
Epoch:3, Time:4ms, TrainLoss:0.33737168, TrainLossChange:-0.06360763 TestLoss:0.80437064
Epoch:4, Time:2ms, TrainLoss:0.29234925, TrainLossChange:-0.045022428 TestLoss:0.8009652
Epoch:5, Time:1ms, TrainLoss:0.26452452, TrainLossChange:-0.02782473 TestLoss:0.5298474
Epoch:6, Time:2ms, TrainLoss:0.20854662, TrainLossChange:-0.055977896 TestLoss:0.22570841
Epoch:7, Time:1ms, TrainLoss:0.20984137, TrainLossChange:0.001294747 TestLoss:0.24565703
Epoch:8, Time:0ms, TrainLoss:0.21692528, TrainLossChange:0.0070839077 TestLoss:0.20053029
Epoch:9, Time:0ms, TrainLoss:0.22474208, TrainLossChange:0.007816806 TestLoss:0.19071542
Epoch:10, Time:0ms, TrainLoss:0.2561068, TrainLossChange:0.03136471 TestLoss:0.3686628
Epoch:11, Time:1ms, TrainLoss:0.17510557, TrainLossChange:-0.08100122 TestLoss:0.14017738
Epoch:12, Time:0ms, TrainLoss:0.23793967, TrainLossChange:0.0628341 TestLoss:0.23449467
Epoch:13, Time:1ms, TrainLoss:0.33778748, TrainLossChange:0.09984781 TestLoss:0.7272159
Epoch:14, Time:1ms, TrainLoss:0.22475365, TrainLossChange:-0.11303383 TestLoss:0.47095108
Epoch:15, Time:1ms, TrainLoss:0.174855, TrainLossChange:-0.049898654 TestLoss:0.17977865
Epoch:16, Time:1ms, TrainLoss:0.22729726, TrainLossChange:0.052442268 TestLoss:0.16525221
Epoch:17, Time:1ms, TrainLoss:0.21187732, TrainLossChange:-0.015419945 TestLoss:0.22879235
Epoch:18, Time:1ms, TrainLoss:0.21953812, TrainLossChange:0.007660806 TestLoss:0.2965422
